recid,mm,dd,yy,county,loc_1
39751,2,13,69,Down,
39752,2,13,69,Down,
39753,2,13,69,Down,
39754,2,13,69,Armagh,OH (last heard)
39755,2,13,69,Armagh,OH (last heard)
39756,2,13,69,Armagh,"OH, (last heard)"
39757,2,13,69,Armagh,OH (last heard)
39758,2,13,69,Armagh,"OH, (last heard)"
39759,2,13,69,Armagh,OH (last heard)
39760,2,13,69,Wexford,
39761,2,13,69,Waterford,"MA, Boston (1867) "
39762,2,13,69,Waterfod,"MA, Old Cambridge (Jun-67)"
39763,2,13,69,Waterford,"MA, Old Cambridge (Jun-67)"
39764,2,13,69,Tipperary,"CO, Black Hawk P.O., Gibber Co. (last heard) "
39765,1,9,69,*England,
39766,1,9,69,Clare,"Ca, Marriposa Co., Bear Creek (last heard 1861)"
39767,1,9,69,Clare,IN supposed
39768,1,9,69,Clare,last heard in Keokuk
39769,1,9,69,Antrim,NY
39770,1,9,69,Waterford,"MO, St. Louis (last heard Dec 1860)"
39771,1,9,69,Kerry,"NY, Albany last heard 1867"
39772,1,9,69,Mayo,"IL, Chicago last Sept 1868"
39773,1,9,69,Tipperary,"LA, New Orleans last heard 1856"
39774,1,9,69,Tipperary,"[MA,] Lowell (left Dec 1856)"
39775,2,20,69,,"PA, Manchester, Alleghany Co."
39776,2,20,69,,"MA, Amesbury (left 1-Oct-67)"
39777,2,20,69,,"PA, Kensington, Philadelphia"
39778,2,20,69,,"Lower Canada, btw. Montreal & Quebec"
39779,2,20,69,Dublin,"Canada, Montreal"
39780,1,16,69,,
39781,1,16,69,,"MA, Boston last heard 1865"
39782,1,16,69,,"MA, Fall River (left 1862)"
39783,1,16,69,"*Scotland, Glasgow",NY last heard
39784,1,16,69,,CA last heard
39785,1,16,69,Derry,NYC
39786,1,16,69,Derry,NYC
39787,1,16,69,Wexford,"PA, arrived between 1853-4"
39788,1,16,69,Wexford,"PA, arrived between 1853-4"
39789,1,16,69,Wexford,"PA, arrived between 1853-4"
39790,1,16,69,Longford,"NY, Black Brook"
39791,1,16,69,Longford,"NY, Black Brook"
39792,1,16,69,Donegal,"MA, Boston left 1865"
39793,1,16,69,,"NY, NYC between 16th + 17th streets"
39794,1,16,69,,"PA, Philadelphia 1850"
39795,1,16,69,Queens,"MA, Leicester May 1866 last heard"
39796,1,16,69,Mayo,"CA, Ress River last heard"
39797,1,16,69,Cavan,"MA, Randolph left 1854"
39798,1,16,69,Cavan,
39799,1,16,69,Cork,"LA, New Orleans, wrote letter to brother 1854"
39800,1,16,69,Kerry,"IL, Winnebago 1852 or 53"
39801,1,16,69,Tipperary,"WI, Madison City 1859"
39802,1,16,69,Tipperary,"WI, Madison City 1859"
39803,1,16,69,Tipperary,"NY, Aug 1863"
39804,1,16,69,Limerick,"NY, Niagara Co."
39805,1,16,69,Limerick,IA supposed
39806,1,16,69,Galway,NY (left 1859-60)
39807,2,20,69,Roscommon,NY (left 1866)
39808,2,20,69,,"PA, Philadelphia"
39809,2,20,69,,"PA, Philadelphia (supposed)"
39810,2,20,69,Clare,"England, Belson, Staffordshire (57/59)"
39811,2,20,69,Clare,"England, Belson, Staffordshire (57/59)"
39812,2,20,69,Queens,"VA, Culpepper (1850)"
39813,2,20,69,Limerick,"IL, Elgin, Cain Co. "
39814,2,20,69,Limerick,"OH, Summerville, Butlers Co. (last heard, 1856)"
39815,2,20,69,Kilkenny,"MA, Boston"
39816,2,20,69,Kilkenny,"LA, New Orleans"
39817,2,20,69,Cork,"MA, Cambridgeport"
39818,2,20,69,Cork,
39819,2,20,69,Cork,
39820,2,20,69,Cork,
39821,2,20,69,Cork,NY (1867)
39822,2,20,69,Kerry,WA (1855) 
39823,2,20,69,Tipperary,"CT, New Britain"
39824,2,20,69,Waterford,"MA, Boston"
39825,2,27,69,,"PA, Philadelphia"
39826,2,27,69,,"PA, Philadelphia"
39827,2,27,69,,"PA, Philadelphia"
39828,2,27,69,,"PA, Philadelphia"
39829,2,27,69,,NY
39830,2,27,69,,"OH, Milan (left 05/58)"
39831,2,27,69,,"MA, Boston (supposed)"
39832,2,27,69,,"MA, Boston (supposed)"
39833,2,27,69,,"MA, Boston (supposed)"
39834,2,27,69,,"MA, Boston (supposed)"
39835,2,27,69,,"MA, Boston (supposed)"
39836,2,27,69,,"Canada, Ottawa (left 1841)"
39837,2,27,69,Clare,"PA, Harrisburg"
39838,2,27,69,Clare,NY
39839,2,27,69,Clare,"GA, Savanah (last heard, 1858)"
39840,2,27,69,Clare,"GA, Savanah (last heard, 1858)"
39841,2,27,69,Cork,"CT, New London (1854)"
39842,2,27,69,Limerick,
39843,2,27,69,Limerick,
39844,2,27,69,Limerick,"IL, Villa Ridge"
39845,2,27,69,Kilkenny,"PA, Pittsburg"
39846,2,27,69,Kilkenny,"PA, Pittsburg"
39847,2,27,69,Kilkenny,"PA, Pittsburg"
39848,2,27,69,Kilkenny,"PA, Pittsburg"
39849,2,27,69,Galway,
39850,2,27,69,Galway,"MD, Steubenville"
39851,2,27,69,Mayo,
39852,2,27,69,Mayo,
39853,2,27,69,Mayo,
39854,2,27,69,Mayo,
39855,2,27,69,"*Scotland, Ruglin nr. Glasgow",
39856,2,27,69,Cork,
39857,2,27,69,Cork,
39858,2,27,69,Cork,
39859,2,27,69,Cork,"MA, West Stockbridge (05/66)"
39860,2,27,69,Cork,"MA, Boston (left 1850)"
39861,2,27,69,Cork,"MA, Boston (left 1866)"
39862,2,27,69,Cork,"MA, Boston"
39863,2,27,67,Kerry,"CO Terr., Pueblo, 140m from Denver City (last heard 04/67)"
39864,2,27,69,Kerry,
39865,2,27,69,Kerry,
39866,2,27,69,Kerry,
39867,2,27,69,Kerry,"NY, New York"
39868,2,27,69,Tipperary,"NY, Cohoes, Albany Co. (left 1851) "
39869,2,27,69,Tipperary,"NY, Cohoes, Albany Co. (left 1851) "
39870,2,27,69,Tipperary,"NY, Cohoes, Albany Co. (left 1851) "
39871,2,27,69,Tipperary,"IL, Whitehall, Greene Co. "
39872,2,27,69,Leitrim,"PA, Triumph City, Warren Co. "
39873,1,23,69,Leitrim,
39874,1,23,69,Leitrim,
39875,1,23,69,Leitrim,
39876,1,23,69,Leitrim,
39877,1,23,69,Leitrim,
39878,1,23,69,Leitrim,
39879,1,23,69,Leitrim,
39880,1,23,69,,NY supposed
39881,1,23,69,,NY supposed
